city,listing_type,total_listings,ttm_revenue_mean,ttm_revenue_median,ttm_revenue_sum,ttm_occupancy_mean,bedrooms_mean,amenity_count_mean
Alghero,Entire apartment,1,25274.0,25274.0,25274.0,0.2,2.0,23.0
Alghero,Entire condo,32,15282.5625,12658.0,489042.0,0.2441875,1.8125,37.25
Alghero,Entire cottage,1,1551.0,1551.0,1551.0,0.036,2.0,29.0
Alghero,Entire guest suite,1,15744.0,15744.0,15744.0,0.233,1.0,29.0
Alghero,Entire guesthouse,1,1366.0,1366.0,1366.0,0.036,1.0,19.0
Alghero,Entire home,32,19457.9375,16824.0,622654.0,0.23521875,2.40625,37.21875
Alghero,Entire loft,9,14877.555555555555,13300.0,133898.0,0.31366666666666665,1.1111111111111112,34.22222222222222
Alghero,Entire rental unit,138,15138.13768115942,13351.0,2089063.0,0.27260144927536234,1.608695652173913,34.94202898550725
Alghero,Entire serviced apartment,1,2560.0,2560.0,2560.0,0.036,4.0,15.0
Alghero,Entire townhouse,6,13274.666666666666,12850.0,79648.0,0.32416666666666666,2.5,42.166666666666664
Alghero,Entire vacation home,5,15005.6,15152.0,75028.0,0.3358,2.0,38.4
Alghero,Entire villa,22,30248.81818181818,33184.0,665474.0,0.2741818181818182,3.0,41.68181818181818
Alghero,Private room in bed and breakfast,33,6454.909090909091,4480.0,213012.0,0.1773939393939394,0.3333333333333333,24.636363636363637
Alghero,Private room in condo,3,4431.0,5488.0,13293.0,0.13166666666666668,0.0,25.666666666666668
Alghero,Private room in rental unit,7,13749.42857142857,7954.0,96246.0,0.16328571428571428,0.0,34.857142857142854
Alghero,Room in bed and breakfast,1,33611.0,33611.0,33611.0,0.679,1.0,22.0
Alghero,Room in boutique hotel,1,3588.0,3588.0,3588.0,0.079,1.0,22.0
Alghero,Room in serviced apartment,1,40337.0,40337.0,40337.0,0.515,2.0,41.0
Alicante,Cave,1,18454.0,18454.0,18454.0,0.781,1.0,18.0
Alicante,Entire apartment,1,6067.0,6067.0,6067.0,0.315,2.0,29.0
Alicante,Entire chalet,1,25830.0,25830.0,25830.0,0.559,2.0,51.0
Alicante,Entire condo,24,16710.333333333332,13051.0,401048.0,0.351875,2.1666666666666665,41.625
Alicante,Entire home,7,16846.428571428572,16030.0,117925.0,0.23328571428571426,4.0,50.285714285714285
Alicante,Entire loft,18,22336.944444444445,22554.0,402065.0,0.5313333333333333,0.8888888888888888,34.611111111111114
Alicante,Entire place,1,37137.0,37137.0,37137.0,0.592,0.0,57.0
Alicante,Entire rental unit,196,22000.005102040817,20792.5,4312001.0,0.40943367346938775,2.061224489795918,37.295918367346935
Alicante,Entire serviced apartment,3,16945.333333333332,22174.0,50836.0,0.3726666666666667,2.0,40.0
Alicante,Entire townhouse,2,19363.0,19363.0,38726.0,0.367,2.5,43.0
Alicante,Entire vacation home,3,10584.333333333334,1807.0,31753.0,0.23266666666666666,2.3333333333333335,48.0
Alicante,Entire villa,1,111826.0,111826.0,111826.0,0.337,5.0,37.0
Alicante,Floor,2,19568.5,19568.5,39137.0,0.3325,3.0,18.5
Alicante,Island,1,9745.0,9745.0,9745.0,0.112,3.0,16.0
Alicante,Private room,1,725.0,725.0,725.0,0.041,0.0,12.0
Alicante,Private room in bed and breakfast,6,5363.0,3433.5,32178.0,0.24183333333333334,0.3333333333333333,20.833333333333332
Alicante,Private room in bungalow,1,1703.0,1703.0,1703.0,0.088,0.0,27.0
Alicante,Private room in condo,2,6076.5,6076.5,12153.0,0.36,0.0,44.5
Alicante,Private room in home,2,3206.0,3206.0,6412.0,0.2195,0.0,20.0
Alicante,Private room in rental unit,24,6559.958333333333,6032.5,157439.0,0.4275,0.0,35.416666666666664
Alicante,Private room in serviced apartment,1,6445.0,6445.0,6445.0,0.367,1.0,25.0
Aljezur,Barn,1,1638.0,1638.0,1638.0,0.093,1.0,32.0
Aljezur,Entire condo,1,5890.0,5890.0,5890.0,0.079,2.0,19.0
Aljezur,Entire cottage,11,20592.272727272728,19015.0,226515.0,0.37363636363636366,1.5454545454545454,43.45454545454545
Aljezur,Entire guest suite,5,12246.4,7030.0,61232.0,0.3688,1.2,26.0
Aljezur,Entire guesthouse,1,19099.0,19099.0,19099.0,0.756,1.0,16.0
Aljezur,Entire home,62,19486.548387096773,17794.0,1208166.0,0.3419354838709677,2.096774193548387,37.04838709677419
Aljezur,Entire loft,2,20027.5,20027.5,40055.0,0.5205,0.0,26.0
Aljezur,Entire rental unit,22,10499.727272727272,9623.0,230994.0,0.296,1.2727272727272727,31.818181818181817
Aljezur,Entire serviced apartment,1,16675.0,16675.0,16675.0,0.589,1.0,44.0
Aljezur,Entire townhouse,6,13433.333333333334,11850.5,80600.0,0.25783333333333336,1.6666666666666667,42.333333333333336
Aljezur,Entire villa,16,40905.3125,34112.5,654485.0,0.3178125,3.6875,41.0625
Aljezur,Private room in bed and breakfast,3,7106.666666666667,6443.0,21320.0,0.11699999999999999,0.6666666666666666,33.666666666666664
Aljezur,Private room in guesthouse,4,12092.0,9076.5,48368.0,0.35575,1.0,12.25
Aljezur,Private room in home,12,11815.083333333334,8895.0,141781.0,0.3026666666666667,0.08333333333333333,38.833333333333336
Aljezur,Private room in hostel,3,12120.666666666666,7830.0,36362.0,0.25366666666666665,1.6666666666666667,36.333333333333336
Aljezur,Private room in nature lodge,1,29609.0,29609.0,29609.0,0.351,1.0,64.0
Aljezur,Private room in rental unit,5,5484.6,3858.0,27423.0,0.23420000000000002,0.0,17.0
Aljezur,Room in hostel,3,3572.3333333333335,4859.0,10717.0,0.11666666666666665,3.3333333333333335,18.0
Aljezur,Room in hotel,9,8232.111111111111,9388.0,74089.0,0.26944444444444443,1.0,14.444444444444445
Aljezur,Shared room in bed and breakfast,1,2277.0,2277.0,2277.0,0.159,0.0,12.0
Aljezur,Tiny home,3,7542.333333333333,5864.0,22627.0,0.15433333333333335,0.6666666666666666,21.666666666666668
Almada,Casa particular,4,15325.25,9290.0,61301.0,0.25125000000000003,2.0,44.25
Almada,Entire apartment,1,14760.0,14760.0,14760.0,0.515,2.0,27.0
Almada,Entire bungalow,2,22793.5,22793.5,45587.0,0.28500000000000003,2.5,47.0
Almada,Entire cabin,2,47422.5,47422.5,94845.0,0.367,2.5,24.5
Almada,Entire chalet,1,4443.0,4443.0,4443.0,0.044,6.0,27.0
Almada,Entire condo,8,19008.125,22224.5,152065.0,0.4275,1.75,44.375
Almada,Entire cottage,1,30406.0,30406.0,30406.0,0.458,3.0,61.0
Almada,Entire guest suite,1,3544.0,3544.0,3544.0,0.115,1.0,34.0
Almada,Entire guesthouse,3,23556.666666666668,17967.0,70670.0,0.6529999999999999,1.0,45.333333333333336
Almada,Entire home,27,37535.37037037037,35256.0,1013455.0,0.3534444444444444,3.4444444444444446,45.370370370370374
Almada,Entire loft,6,11454.0,9943.0,68724.0,0.245,1.1666666666666667,43.166666666666664
Almada,Entire place,1,37977.0,37977.0,37977.0,0.162,5.0,12.0
Almada,Entire rental unit,88,15158.795454545454,14502.0,1333974.0,0.34475,1.4886363636363635,36.86363636363637
